,cust_id,transaction_type,transaction_date,subscription_type,customer_gender,age_group,customer_country,referral_type,price
113,114,REDUCTION,2022-08-01,BASIC,Male,55-65,Denmark,Missing referral type,53
114,115,initial,2021-11-01,BASIC,Female,45-54,Finland,Missing referral type,43
115,116,REDUCTION,2021-03-01,BASIC,Other,25-34,Sweden,Paid Search,43
116,117,CHURN,2022-07-01,PRO,Female,25-34,Finland,Missing referral type,85
117,118,UPGRADE,2022-05-01,MAX,Male,25-34,Denmark,facebook,119
118,119,CHURN,2022-10-01,BASIC,Female,55-65,Sweden,Google Ads,53
119,120,UPGRADE,2021-10-01,PRO,Other,18-24,Sweden,Missing referral type,75
120,121,CHURN,2022-07-01,BASIC,Male,35-44,Finland,Paid Search,53
121,122,REDUCTION,2021-12-01,PRO,Other,25-34,Sweden,Missing referral type,75
122,123,UPGRADE,2021-04-01,MAX,Male,55-65,Sweden,Paid Search,109
123,124,CHURN,2022-02-01,BASIC,Female,25-34,Denmark,facebook,53
124,125,UPGRADE,2022-08-01,MAX,Female,35-44,Finland,Organic Search,119
125,126,initial,2022-12-01,MAX,Female,35-44,Norway,Google Ads,119
126,127,REDUCTION,2022-02-01,BASIC,Other,25-34,Denmark,Paid Search,53
127,128,CHURN,2022-09-01,BASIC,Other,35-44,Denmark,Missing referral type,53
128,129,REDUCTION,2022-05-01,BASIC,Male,25-34,Sweden,Paid Search,53
129,130,UPGRADE,2022-11-01,PRO,Male,55-65,Norway,Bing,85
130,131,initial,2022-09-01,BASIC,Female,45-54,Sweden,Organic Search,53
131,132,CHURN,2022-09-01,PRO,Male,55-65,Sweden,Missing referral type,85
132,133,UPGRADE,2022-07-01,MAX,Male,45-54,Norway,Google Ads,119
133,134,CHURN,2022-09-01,BASIC,Female,25-34,Sweden,Paid Search,53
134,135,initial,2022-12-01,BASIC,Male,18-24,Norway,Google Ads,53
135,136,CHURN,2021-12-01,BASIC,Female,18-24,Norway,Missing referral type,43
136,137,REDUCTION,2022-08-01,PRO,Other,35-44,Norway,Missing referral type,85
137,138,REDUCTION,2021-06-01,BASIC,Other,25-34,Sweden,Missing referral type,43
138,139,REDUCTION,2021-12-01,PRO,Other,35-44,Finland,Missing referral type,75
139,140,initial,2021-11-01,PRO,Male,45-54,Sweden,Missing referral type,75
140,141,REDUCTION,2022-07-01,BASIC,Male,45-54,Sweden,facebook,53
141,142,initial,2022-08-01,BASIC,Male,35-44,Finland,Organic Search,53
142,143,initial,2022-03-01,BASIC,Female,55-65,Norway,Missing referral type,53
143,144,initial,2022-07-01,MAX,Female,55-65,Norway,facebook,119
144,145,UPGRADE,2022-11-01,MAX,Other,35-44,Sweden,Missing referral type,119
145,146,initial,2022-11-01,MAX,Other,55-65,Denmark,Missing referral type,119
146,147,CHURN,2021-03-01,BASIC,Female,45-54,Finland,facebook,43
147,148,initial,2021-10-01,BASIC,Female,35-44,Norway,Missing referral type,43
148,149,REDUCTION,2021-01-01,BASIC,Male,55-65,Sweden,Missing referral type,43
149,150,UPGRADE,2022-01-01,MAX,Female,35-44,Denmark,Paid Search,119
150,151,UPGRADE,2021-11-01,MAX,Male,18-24,Sweden,Display,109
151,152,UPGRADE,2022-10-01,MAX,Male,35-44,Sweden,TV,119
152,153,UPGRADE,2022-01-01,MAX,Other,25-34,Norway,Missing referral type,119
153,154,UPGRADE,2022-04-01,MAX,Female,35-44,Denmark,Organic Search,119
154,155,CHURN,2022-06-01,BASIC,Other,18-24,Norway,Bing,53
155,156,initial,2022-12-01,PRO,Other,25-34,Sweden,Missing referral type,85
156,157,initial,2022-09-01,BASIC,Male,18-24,Sweden,Missing referral type,53
157,158,UPGRADE,2021-07-01,MAX,Male,25-34,Norway,Missing referral type,109
158,159,UPGRADE,2021-07-01,MAX,Female,35-44,Sweden,Missing referral type,109
159,160,REDUCTION,2021-12-01,BASIC,Other,25-34,Finland,facebook,43
160,161,REDUCTION,2021-09-01,BASIC,Male,18-24,Norway,Missing referral type,43
161,162,initial,2022-07-01,MAX,Other,55-65,Denmark,facebook,119
162,163,CHURN,2021-06-01,MAX,Male,35-44,Denmark,Missing referral type,109
163,164,CHURN,2022-01-01,BASIC,Female,55-65,Finland,Missing referral type,53
164,165,CHURN,2022-09-01,MAX,Male,18-24,Finland,Paid Search,119
165,166,initial,2022-01-01,PRO,Male,18-24,Denmark,Google Ads,85
166,167,REDUCTION,2022-04-01,BASIC,Female,18-24,Norway,TV,53
167,168,REDUCTION,2021-05-01,BASIC,Other,25-34,Sweden,Paid Search,43
168,169,initial,2022-03-01,PRO,Other,45-54,Finland,Google Ads,85
169,170,initial,2022-06-01,PRO,Female,55-65,Finland,Organic Search,85
170,171,initial,2022-09-01,PRO,Female,25-34,Norway,Missing referral type,85
171,172,CHURN,2022-02-01,BASIC,Male,18-24,Sweden,Missing referral type,53
172,173,REDUCTION,2022-08-01,BASIC,Male,18-24,Sweden,Display,53
173,174,initial,2022-12-01,PRO,Other,55-65,Denmark,Organic Search,85
174,175,REDUCTION,2021-04-01,BASIC,Other,25-34,Sweden,Missing referral type,43
175,176,UPGRADE,2022-11-01,MAX,Female,45-54,Sweden,Paid Search,119
176,177,CHURN,2022-10-01,BASIC,Male,55-65,Norway,Missing referral type,53
177,178,UPGRADE,2022-05-01,MAX,Other,25-34,Sweden,facebook,119
178,179,initial,2020-12-01,BASIC,Female,55-65,Sweden,Bing,33
179,180,initial,2022-02-01,BASIC,Other,55-65,Sweden,Organic Search,53
180,181,initial,2021-12-01,MAX,Other,25-34,Finland,Missing referral type,109
181,182,CHURN,2022-10-01,PRO,Female,35-44,Finland,Missing referral type,85
182,183,UPGRADE,2022-11-01,MAX,Female,25-34,Norway,facebook,119
183,184,UPGRADE,2022-11-01,PRO,Other,55-65,Finland,Missing referral type,85
184,185,REDUCTION,2022-04-01,BASIC,Female,45-54,Sweden,Missing referral type,53
185,186,initial,2022-12-01,PRO,Male,55-65,Sweden,Bing,85
186,187,CHURN,2022-09-01,MAX,Other,45-54,Finland,Missing referral type,119
187,188,initial,2021-05-01,BASIC,Female,35-44,Finland,Missing referral type,43
188,189,CHURN,2022-11-01,MAX,Female,18-24,Sweden,Missing referral type,119
189,190,UPGRADE,2021-11-01,PRO,Female,35-44,Sweden,facebook,75
190,191,CHURN,2022-08-01,MAX,Male,35-44,Finland,Paid Search,119
191,192,initial,2021-10-01,MAX,Other,25-34,Sweden,Missing referral type,109
192,193,REDUCTION,2022-06-01,BASIC,Male,25-34,Norway,Google Ads,53
193,194,initial,2022-03-01,BASIC,Other,25-34,Denmark,Missing referral type,53
194,195,initial,2020-07-01,BASIC,Male,18-24,Sweden,Display,33
195,196,UPGRADE,2021-07-01,MAX,Female,45-54,Finland,Organic Search,109
196,197,UPGRADE,2020-11-01,MAX,Male,55-65,Finland,TV,99
197,198,REDUCTION,2021-11-01,BASIC,Other,35-44,Finland,Display,43
198,199,REDUCTION,2022-10-01,PRO,Other,55-65,Sweden,Google Ads,85
199,200,initial,2022-10-01,BASIC,Other,18-24,Sweden,Missing referral type,53
200,201,UPGRADE,2022-09-01,MAX,Female,25-34,Norway,facebook,119
201,202,UPGRADE,2021-09-01,MAX,Male,55-65,Denmark,TV,109
202,203,UPGRADE,2020-07-01,MAX,Other,25-34,Denmark,Missing referral type,99
203,204,initial,2021-10-01,BASIC,Female,45-54,Sweden,facebook,43
204,205,initial,2022-08-01,BASIC,Female,18-24,Sweden,facebook,53
205,206,CHURN,2021-03-01,MAX,Other,55-65,Denmark,Missing referral type,109
206,207,initial,2022-07-01,PRO,Male,25-34,Sweden,Google Ads,85
207,208,REDUCTION,2020-09-01,BASIC,Female,25-34,Norway,Missing referral type,33
208,209,REDUCTION,2022-03-01,PRO,Other,55-65,Sweden,Organic Search,85
209,210,CHURN,2021-08-01,MAX,Female,35-44,Finland,Paid Search,109
210,211,initial,2022-07-01,MAX,Other,35-44,Finland,facebook,119
211,212,initial,2022-08-01,BASIC,Male,25-34,Finland,Paid Search,53
212,213,initial,2022-11-01,PRO,Other,45-54,Sweden,Missing referral type,85
213,214,initial,2021-07-01,PRO,Female,18-24,Denmark,Paid Search,75
214,215,REDUCTION,2022-09-01,BASIC,Female,25-34,Norway,Missing referral type,53
215,216,UPGRADE,2022-07-01,MAX,Other,55-65,Sweden,Missing referral type,119
216,217,REDUCTION,2021-08-01,PRO,Female,18-24,Sweden,Paid Search,75
217,218,CHURN,2022-11-01,PRO,Other,18-24,Denmark,TV,85
218,219,initial,2022-06-01,PRO,Male,18-24,Sweden,Organic Search,85
219,220,initial,2022-01-01,BASIC,Female,55-65,Norway,facebook,53
220,221,UPGRADE,2021-10-01,MAX,Male,18-24,Denmark,Google Ads,109
221,222,initial,2021-11-01,MAX,Other,55-65,Norway,TV,109
222,223,CHURN,2022-09-01,MAX,Other,55-65,Finland,Missing referral type,119
223,224,initial,2022-03-01,BASIC,Male,18-24,Finland,facebook,53
224,225,initial,2021-11-01,BASIC,Male,18-24,Finland,Missing referral type,43
225,226,initial,2022-02-01,MAX,Other,18-24,Sweden,Missing referral type,119
226,227,initial,2022-04-01,BASIC,Other,25-34,Sweden,Missing referral type,53
227,228,initial,2022-07-01,MAX,Other,55-65,Sweden,Paid Search,119
228,229,REDUCTION,2022-02-01,BASIC,Female,55-65,Norway,Missing referral type,53
229,230,initial,2022-11-01,BASIC,Male,18-24,Norway,Missing referral type,53
230,231,initial,2022-11-01,BASIC,Other,18-24,Sweden,facebook,53
231,232,CHURN,2022-03-01,MAX,Other,35-44,Denmark,Paid Search,119
232,233,initial,2022-08-01,BASIC,Male,45-54,Norway,Missing referral type,53
233,234,REDUCTION,2022-01-01,BASIC,Male,35-44,Finland,Organic Search,53
234,235,UPGRADE,2021-11-01,MAX,Other,55-65,Sweden,Missing referral type,109
235,236,CHURN,2021-05-01,PRO,Male,35-44,Finland,Missing referral type,75
236,237,REDUCTION,2021-08-01,PRO,Other,55-65,Denmark,Missing referral type,75
237,238,initial,2021-07-01,BASIC,Male,35-44,Finland,Paid Search,43
238,239,UPGRADE,2022-03-01,PRO,Other,55-65,Denmark,facebook,85
239,240,REDUCTION,2022-01-01,PRO,Other,45-54,Norway,Google Ads,85
240,241,UPGRADE,2022-06-01,PRO,Male,18-24,Norway,Organic Search,85
241,242,initial,2021-12-01,BASIC,Male,18-24,Norway,Google Ads,43
242,243,REDUCTION,2021-06-01,BASIC,Female,45-54,Denmark,Missing referral type,43
243,244,initial,2022-03-01,BASIC,Female,18-24,Sweden,Missing referral type,53
244,245,UPGRADE,2022-06-01,MAX,Male,25-34,Norway,Missing referral type,119
245,246,REDUCTION,2021-05-01,BASIC,Other,55-65,Sweden,Missing referral type,43
246,247,UPGRADE,2022-02-01,MAX,Other,55-65,Norway,Organic Search,119
247,248,REDUCTION,2020-12-01,BASIC,Other,35-44,Denmark,TV,33
248,249,initial,2021-08-01,BASIC,Male,18-24,Sweden,Paid Search,43
249,250,UPGRADE,2021-08-01,MAX,Male,35-44,Sweden,facebook,109
250,251,REDUCTION,2022-10-01,BASIC,Other,35-44,Finland,Organic Search,53
251,252,REDUCTION,2021-07-01,PRO,Female,35-44,Finland,Missing referral type,75
252,253,REDUCTION,2022-05-01,BASIC,Female,25-34,Finland,Google Ads,53
253,254,UPGRADE,2021-06-01,PRO,Male,18-24,Denmark,Bing,75
254,255,UPGRADE,2021-12-01,MAX,Other,45-54,Norway,Missing referral type,109
255,256,CHURN,2022-07-01,BASIC,Other,35-44,Finland,Missing referral type,53
256,257,REDUCTION,2021-07-01,BASIC,Male,45-54,Finland,Organic Search,43
257,258,UPGRADE,2021-08-01,PRO,Other,18-24,Denmark,Google Ads,75
258,259,UPGRADE,2022-01-01,MAX,Male,45-54,Norway,Missing referral type,119
259,260,initial,2022-09-01,BASIC,Other,55-65,Norway,Paid Search,53
260,261,initial,2020-10-01,BASIC,Other,35-44,Denmark,Missing referral type,33
261,262,,2021-04-01,PRO,Female,35-44,Norway,Google Ads,75
262,263,CHURN,2020-12-01,BASIC,Female,18-24,Denmark,Bing,33
263,264,UPGRADE,2022-03-01,PRO,Female,18-24,Norway,Organic Search,85
264,265,UPGRADE,2022-07-01,PRO,Female,25-34,Finland,Google Ads,85
265,266,REDUCTION,2022-07-01,BASIC,Other,25-34,Norway,Missing referral type,53
266,267,CHURN,2020-10-01,PRO,Female,35-44,Finland,Missing referral type,65
267,268,UPGRADE,2021-10-01,MAX,Male,25-34,Finland,Missing referral type,109
268,269,initial,2022-04-01,PRO,Female,35-44,Sweden,Missing referral type,85
269,270,CHURN,2022-04-01,PRO,Female,25-34,Denmark,Paid Search,85
270,271,CHURN,2022-08-01,BASIC,Female,35-44,Denmark,Missing referral type,53
271,272,REDUCTION,2021-10-01,BASIC,Other,25-34,Sweden,Paid Search,43
272,273,initial,2022-01-01,PRO,Male,55-65,Denmark,Paid Search,85
273,274,UPGRADE,2021-04-01,MAX,Female,35-44,Sweden,Missing referral type,109
274,275,REDUCTION,2022-01-01,BASIC,Other,45-54,Norway,Missing referral type,53
275,276,initial,2022-01-01,BASIC,Other,18-24,Finland,facebook,53
276,277,REDUCTION,2021-06-01,BASIC,Other,55-65,Finland,Missing referral type,43
277,278,REDUCTION,2022-11-01,BASIC,Female,18-24,Sweden,Missing referral type,53
278,279,UPGRADE,2022-06-01,MAX,Female,45-54,Finland,Missing referral type,119
279,280,initial,2021-09-01,BASIC,Other,25-34,Finland,Google Ads,43
280,281,UPGRADE,2020-08-01,MAX,Male,18-24,Norway,Missing referral type,99
281,282,initial,2022-11-01,MAX,Other,25-34,Sweden,Missing referral type,119
282,283,initial,2022-08-01,BASIC,Male,55-65,Sweden,facebook,53
283,284,REDUCTION,2022-06-01,BASIC,Other,18-24,Denmark,facebook,53
284,285,CHURN,2022-10-01,PRO,Female,35-44,Denmark,Organic Search,85
285,286,initial,2022-11-01,BASIC,Male,35-44,Finland,TV,53
286,287,initial,2022-06-01,PRO,Female,18-24,Sweden,Google Ads,85
287,288,UPGRADE,2022-01-01,MAX,Male,18-24,Norway,Organic Search,119
288,289,UPGRADE,2022-04-01,MAX,Male,45-54,Sweden,Missing referral type,119
289,290,initial,2022-01-01,MAX,Other,45-54,Sweden,facebook,119
290,291,initial,2022-12-01,MAX,Female,55-65,Finland,facebook,119
291,292,initial,2020-05-01,BASIC,Male,55-65,Norway,facebook,33
292,293,UPGRADE,2022-07-01,MAX,Male,25-34,Finland,facebook,119
293,294,CHURN,2022-04-01,PRO,Male,35-44,Sweden,Missing referral type,85
294,295,UPGRADE,2020-11-01,MAX,Female,55-65,Norway,Missing referral type,99
295,296,UPGRADE,2022-05-01,MAX,Male,18-24,Denmark,facebook,119
296,297,initial,2022-09-01,BASIC,Other,25-34,Denmark,Missing referral type,53
297,298,initial,2022-04-01,BASIC,Female,25-34,Sweden,Missing referral type,53
298,299,REDUCTION,2021-05-01,PRO,Other,45-54,Norway,Missing referral type,75
299,300,UPGRADE,2021-10-01,MAX,Other,55-65,Denmark,Missing referral type,109
300,301,,2022-11-01,MAX,Female,25-34,Denmark,Organic Search,119
301,302,REDUCTION,2022-07-01,PRO,Female,55-65,Denmark,Bing,85
302,303,CHURN,2022-01-01,MAX,Female,55-65,Denmark,Missing referral type,119
303,304,initial,2021-05-01,MAX,Female,18-24,Sweden,Missing referral type,109
304,305,UPGRADE,2020-10-01,MAX,Female,18-24,Sweden,Missing referral type,99
305,306,initial,2022-10-01,PRO,Other,55-65,Sweden,Paid Search,85
306,307,UPGRADE,2022-03-01,MAX,Male,35-44,Sweden,facebook,119
307,308,UPGRADE,2022-09-01,MAX,Female,25-34,Sweden,Organic Search,119
308,309,REDUCTION,2020-10-01,BASIC,Other,45-54,Norway,Organic Search,33
309,310,CHURN,2022-10-01,MAX,Other,35-44,Denmark,Missing referral type,119
310,311,REDUCTION,2022-05-01,BASIC,Other,35-44,Norway,Organic Search,53
311,312,UPGRADE,2022-09-01,MAX,Other,18-24,Denmark,Display,119
312,313,UPGRADE,2022-03-01,MAX,Male,35-44,Norway,Paid Search,119
313,314,CHURN,2021-11-01,BASIC,Other,55-65,Finland,Paid Search,43
314,315,REDUCTION,2021-08-01,BASIC,Female,25-34,Sweden,TV,43
315,316,UPGRADE,2022-06-01,PRO,Other,45-54,Norway,Paid Search,85
316,317,UPGRADE,2021-07-01,MAX,Female,55-65,Sweden,Missing referral type,109
317,318,REDUCTION,2022-05-01,BASIC,Female,45-54,Norway,Missing referral type,53
318,319,initial,2022-09-01,BASIC,Female,55-65,Finland,Google Ads,53
319,320,REDUCTION,2022-06-01,BASIC,Female,18-24,Finland,Missing referral type,53
320,321,CHURN,2022-01-01,MAX,Female,35-44,Denmark,Google Ads,119
321,322,UPGRADE,2021-02-01,MAX,Female,18-24,Norway,Missing referral type,109
322,323,UPGRADE,2022-01-01,MAX,Female,55-65,Norway,Missing referral type,119
323,324,initial,2022-03-01,MAX,Other,55-65,Norway,facebook,119
324,325,initial,2022-04-01,PRO,Other,35-44,Sweden,Display,85
325,326,CHURN,2022-07-01,MAX,Female,18-24,Finland,facebook,119
326,327,REDUCTION,2021-11-01,BASIC,Female,55-65,Denmark,Missing referral type,43
327,328,REDUCTION,2021-10-01,PRO,Other,35-44,Denmark,Organic Search,75
328,329,UPGRADE,2022-08-01,PRO,Male,18-24,Sweden,Display,85
329,330,CHURN,2022-06-01,MAX,Female,18-24,Denmark,TV,119
330,331,initial,2022-01-01,MAX,Other,45-54,Sweden,Paid Search,119
331,332,UPGRADE,2022-04-01,MAX,Other,45-54,Sweden,Organic Search,119
332,333,UPGRADE,2022-11-01,MAX,Other,45-54,Denmark,Bing,119
333,334,REDUCTION,2021-11-01,BASIC,Female,45-54,Norway,Bing,43
334,335,REDUCTION,2020-09-01,BASIC,Other,55-65,Denmark,Google Ads,33
335,336,CHURN,2022-05-01,MAX,Female,18-24,Finland,Organic Search,119
336,337,initial,2022-10-01,MAX,Other,55-65,Norway,Missing referral type,119
337,338,initial,2022-08-01,BASIC,Male,18-24,Denmark,facebook,53
338,339,CHURN,2022-08-01,BASIC,Other,18-24,Denmark,Paid Search,53
339,340,UPGRADE,2021-11-01,PRO,Male,45-54,Sweden,Google Ads,75
340,341,UPGRADE,2022-11-01,PRO,Other,18-24,Sweden,Organic Search,85
341,342,initial,2021-12-01,BASIC,Other,25-34,Denmark,Paid Search,43
342,343,REDUCTION,2022-03-01,BASIC,Other,45-54,Finland,Google Ads,53
343,344,REDUCTION,2022-10-01,PRO,Other,25-34,Denmark,Missing referral type,85
344,345,UPGRADE,2022-06-01,MAX,Other,45-54,Finland,Organic Search,119
345,346,initial,2021-12-01,BASIC,Other,25-34,Sweden,Missing referral type,43
